proporcion,split,seed,bought_rate
70/15/15,valid,126,0.12811867835468643
70/15/15,test,126,0.13154362416107382
70/15/15,valid,127,0.13328822733423545
70/15/15,test,127,0.13726790450928383
70/15/15,valid,128,0.12974051896207583
70/15/15,test,128,0.1282392026578073
70/15/15,valid,129,0.13618925831202047
70/15/15,test,129,0.13012361743656473
70/15/15,valid,130,0.12895069532237674
70/15/15,test,130,0.12957937584803256
70/15/15,valid,131,0.12598944591029024
70/15/15,test,131,0.12760416666666666
70/15/15,valid,132,0.125
70/15/15,test,132,0.13054830287206268
70/15/15,valid,133,0.12746386333771353
70/15/15,test,133,0.12681638044914134
70/15/15,valid,134,0.13219895287958114
70/15/15,test,134,0.1300204220558203
70/15/15,valid,135,0.1324200913242009
70/15/15,test,135,0.12372535690006799
70/15/15,valid,136,0.1264138389886893
70/15/15,test,136,0.13257828114590273
70/15/15,valid,137,0.12239408204438466
70/15/15,test,137,0.13163064833005894
70/15/15,valid,138,0.12623925974884337
70/15/15,test,138,0.12458800263678313
70/15/15,valid,139,0.13606340819022458
70/15/15,test,139,0.13195876288659794
70/15/15,valid,140,0.13178294573643412
70/15/15,test,140,0.13215258855585832
70/15/15,valid,141,0.13435828877005349
70/15/15,test,141,0.13099257258609048
70/15/15,valid,142,0.12789927104042412
70/15/15,test,142,0.13122476446837147
70/15/15,valid,143,0.12572161642078256
70/15/15,test,143,0.13216453135536074
70/15/15,valid,144,0.13302752293577982
70/15/15,test,144,0.1307901907356948
70/15/15,valid,145,0.13008672448298866
70/15/15,test,145,0.12911903160726296
70/15/15,valid,146,0.12746386333771353
70/15/15,test,146,0.1287978863936592
70/15/15,valid,147,0.13618157543391188
70/15/15,test,147,0.1258191349934469
70/15/15,valid,148,0.12231182795698925
70/15/15,test,148,0.1310935441370224
70/15/15,valid,149,0.12151394422310757
70/15/15,test,149,0.1312664907651715
70/15/15,valid,150,0.1361533377395902
70/15/15,test,150,0.1282565130260521
70/15/15,valid,151,0.12763068567549218
70/15/15,test,151,0.1343385880740233
70/15/15,valid,152,0.12945838837516513
70/15/15,test,152,0.13156146179401992
70/15/15,valid,153,0.13611859838274934
70/15/15,test,153,0.12740544127405443
70/15/15,valid,154,0.13306177868295996
70/15/15,test,154,0.13043478260869565
70/15/15,valid,155,0.1258741258741259
70/15/15,test,155,0.1264849755415793
70/15/15,valid,156,0.133008356545961
